course_code,course_name,credits,grade,semester
ACT201,Intro to Financial Accounting,3,D,Fall2021
BEN205,Bengali Literature,3,F,Fall2021
LAW200,Legal Environment of Business,3,D,Summer2022
BUS172,Introduction to Statistics,3,D,Summer2022
BIO103,Biology I,3,D+,Summer2022
PHI401,Ethics / Philosophy,3,D+,Fall2022
SCM320,Procurement and Inventory,3,C-,Fall2022
MGT390,Warehouse Management,3,D+,Fall2022
MGT489,Strategic Management,3,C-,Summer2023
SCM310,Supply Chain Management,3,F,Fall2023
MGT470,Quality Management,3,D+,Fall2023
BUS173,Applied Statistics,3,I,Spring2024
ENV107,Environmental Science,3,F,Spring2024
LAW200,Legal Environment of Business,3,D+,Summer2024
