course_code,course_name,credits,grade,semester
MAT116,Pre-Calculus,3,A-,Fall2019
BUS135,Business Mathematics,3,D+,Fall2019
MGT212,Principles of Management,3,B-,Fall2019
INB372,International Business,3,A,Spring2020
MGT314,Production Management,3,B-,Spring2020
MGT368,Entrepreneurship,3,B,Spring2020
BUS251,Business Communication,3,C,Spring2020
MIS207,Management Information Systems,3,B,Summer2020
MAT120,Calculus I,3,C,Fall2020
PHY107,Physics I,3,B,Fall2020
CSE311,Database Management Systems,3,B,Fall2020
CSE499B,Senior Capstone Design II,2,C+,Spring2021
EEE141L,Electrical Circuits I Lab,1,C,Spring2021
CSE231L,Digital Logic Design Lab,1,C-,Spring2021
CSE215,Programming Language II,3,B-,Spring2021
MAT240,Probability & Statistics,3,B,Spring2021
BIO103,Biology I,3,B-,Summer2021
CSE115L,Programming Language I Lab,1,B,Summer2021
HIS101,Bangladesh History,3,D+,Fall2021
HIS102,World Civilization,3,F,Fall2021
ECO104,Intro to Macroeconomics,3,F,Spring2022
CSE327,Software Engineering,3,D,Spring2022
ENG105,Advanced Composition,3,B-,Spring2022
CSE332,Computer Organization & Architecture,3,C,Spring2022
CSE225L,Data Structures & Algorithms Lab,1,W,Summer2022
PHY108L,Physics II Lab,1,C-,Summer2022
PHY108,Physics II,3,F,Summer2022
CSE299,Junior Design Project,1,B,Summer2022
CSE225,Data Structures & Algorithms,3,B,Summer2022
CSE215L,Programming Language II Lab,1,C,Summer2022
