course_code,course_name,credits,grade,semester
ACT201,Intro to Financial Accounting,3,B+,Summer2020
ACT202,Intro to Managerial Accounting,3,A-,Summer2020
MGT314,Production Management,3,C+,Summer2020
PHI401,Ethics / Philosophy,3,B-,Summer2020
MIS107,Introduction to Computers,3,A-,Summer2020
MGT351,Human Resource Management,3,A-,Summer2020
PAD201,Public Administration,3,B+,Summer2020
PHY107,Physics I,3,A,Summer2020
ENG103,Intermediate Composition,3,B+,Fall2020
BUS135,Business Mathematics,3,B+,Fall2020
ENG105,Advanced Composition,3,B,Fall2020
MGT212,Principles of Management,3,A,Fall2020
HRM380,Compensation Theory and Practice,3,B,Fall2020
ECO104,Intro to Macroeconomics,3,A-,Spring2021
MKT202,Introduction to Marketing,3,A-,Spring2021
BUS172,Introduction to Statistics,3,A,Spring2021
ECO101,Intro to Microeconomics,3,A,Spring2021
HIS101,Bangladesh History,3,A,Spring2021
ANT101,Anthropology,3,A,Spring2021
HRM470,Negotiations,3,B+,Spring2021
INB372,International Business,3,A-,Summer2021
LAW200,Legal Environment of Business,3,A-,Summer2021
PSY101,Intro to Psychology,3,A,Summer2021
HRM450,Industrial Relations,3,A-,Summer2021
HRM370,Managerial Skill Development,3,A,Summer2021
MGT368,Entrepreneurship,3,A,Fall2021
BUS251,Business Communication,3,B+,Fall2021
FIN254,Intro to Financial Management,3,B,Fall2021
BUS173,Applied Statistics,3,A-,Fall2021
MIS207,Management Information Systems,3,A,Fall2021
MGT489,Strategic Management,3,A,Fall2021
BEN205,Bengali Literature,3,A,Fall2021
HIS205,Modern History,3,B,Fall2021
CHE101,Chemistry I,3,A,Fall2021
CHE101L,Chemistry I Lab,1,A-,Fall2021
HRM340,Training and Development,3,B,Fall2021
HRM360,Planning and Staffing,3,A,Fall2021
BUS498,Internship,4,A,Fall2021
