course_code,course_name,credits,grade,semester
MGT489,Strategic Management,3,F,Summer2021
ACT201,Intro to Financial Accounting,3,C+,Fall2021
HIS205,Modern History,3,B,Fall2021
ANT101,Anthropology,3,A,Fall2021
BIO103L,Biology I Lab,1,C,Fall2021
INB372,International Business,3,B+,Spring2022
ENG105,Advanced Composition,3,A,Spring2022
MGT212,Principles of Management,3,C+,Spring2022
MGT390,Warehouse Management,3,B,Spring2022
MIS207,Management Information Systems,3,W,Summer2022
BUS173,Applied Statistics,3,W,Summer2022
CHN101,Chinese Language,3,W,Summer2022
SCM320,Procurement and Inventory,3,B+,Summer2022
POL104,Political Science,3,B,Fall2022
SCM310,Supply Chain Management,3,W,Fall2022
BUS172,Introduction to Statistics,3,B,Spring2023
BUS135,Business Mathematics,3,W,Spring2023
MGT314,Production Management,3,W,Spring2023
MKT202,Introduction to Marketing,3,C,Spring2023
PHI401,Ethics / Philosophy,3,C,Spring2023
HIS103,History of South Asia,3,F,Spring2023
