course_code,course_name,credits,grade,semester
MIS207,Management Information Systems,3,B-,Summer2020
FIN254,Intro to Financial Management,3,B+,Summer2020
ACT202,Intro to Managerial Accounting,3,C+,Summer2020
PHI401,Ethics / Philosophy,3,B+,Summer2020
ENG115,English Literature,3,A-,Summer2020
SOC101,Intro to Sociology,3,C,Summer2020
PSY101,Intro to Psychology,3,B-,Summer2020
ENG105,Advanced Composition,3,C+,Fall2020
ENG103,Intermediate Composition,3,C-,Fall2020
INB372,International Business,3,B+,Fall2020
BUS172,Introduction to Statistics,3,B-,Fall2020
MGT212,Principles of Management,3,B-,Fall2020
BUS135,Business Mathematics,3,B,Fall2020
ECO104,Intro to Macroeconomics,3,B+,Fall2020
POL104,Political Science,3,C+,Fall2020
BIO103,Biology I,3,C,Fall2020
PBH101,Public Health,3,B,Fall2020
MIS310,Systems Analysis,3,B+,Fall2020
MGT490,Project Management,3,A,Fall2020
MGT314,Production Management,3,C,Spring2021
MIS107,Introduction to Computers,3,B,Spring2021
ECO101,Intro to Microeconomics,3,B+,Spring2021
MGT489,Strategic Management,3,C,Spring2021
ACT201,Intro to Financial Accounting,3,B+,Spring2021
MGT368,Entrepreneurship,3,B+,Spring2021
HIS205,Modern History,3,B,Spring2021
HIS102,World Civilization,3,B,Spring2021
PSY101L,Psychology Lab,1,C,Spring2021
MIS320,IT for Managers,3,A-,Spring2021
MIS470,IT Project Management,3,B,Spring2021
MIS410,Systems Design,3,A-,Spring2021
LAW200,Legal Environment of Business,3,A-,Summer2021
MGT351,Human Resource Management,3,B,Summer2021
BUS251,Business Communication,3,B,Summer2021
MIS210,Computer Programming,3,A-,Summer2021
BUS498,Internship,4,B,Summer2021
