course_code,course_name,credits,grade,semester
ACT201,Intro to Financial Accounting,3,B+,Fall2020
BUS135,Business Mathematics,3,B-,Fall2020
INB372,International Business,3,B+,Fall2020
MIS210,Computer Programming,3,B-,Fall2020
MIS450,IS Security,3,A-,Fall2020
ENG105,Advanced Composition,3,F,Spring2021
MGT212,Principles of Management,3,B-,Spring2021
MGT314,Production Management,3,B+,Spring2021
ECO104,Intro to Macroeconomics,3,A,Spring2021
MGT351,Human Resource Management,3,C,Spring2021
ENG103,Intermediate Composition,3,B-,Spring2021
LAW200,Legal Environment of Business,3,A-,Spring2021
MIS207,Management Information Systems,3,D,Spring2021
MKT202,Introduction to Marketing,3,B-,Spring2021
ENG115,English Literature,3,A-,Spring2021
HIS101,Bangladesh History,3,C+,Spring2021
HIS102,World Civilization,3,F,Spring2021
ENV107,Environmental Science,3,C,Spring2021
CHE101,Chemistry I,3,B,Spring2021
MIS310,Systems Analysis,3,D+,Spring2021
MIS470,IT Project Management,3,W,Spring2021
MIS499,Special Topics in MIS,3,A,Spring2021
ECO101,Intro to Microeconomics,3,W,Summer2021
MIS107,Introduction to Computers,3,B+,Summer2021
MGT368,Entrepreneurship,3,C-,Summer2021
BUS173,Applied Statistics,3,A,Summer2021
FIN254,Intro to Financial Management,3,W,Summer2021
MGT489,Strategic Management,3,B+,Summer2021
SOC101,Intro to Sociology,3,B,Summer2021
PHY107,Physics I,3,A-,Summer2021
ACT202,Intro to Managerial Accounting,3,C-,Fall2021
BUS251,Business Communication,3,D+,Fall2021
PAD201,Public Administration,3,B+,Fall2021
CHE101L,Chemistry I Lab,1,C-,Fall2021
MIS320,IT for Managers,3,D,Fall2021
BUS498,Internship,4,B,Fall2021
