course_code,course_name,credits,grade,semester
ACT201,Intro to Financial Accounting,3,C,Fall2022
PSY101,Intro to Psychology,3,D,Fall2022
ACT310,Intermediate Accounting I,3,C,Fall2022
MIS107,Introduction to Computers,3,W,Spring2023
PBH101,Public Health,3,W,Spring2023
ENV107,Environmental Science,3,B,Spring2023
ACT360,Advanced Managerial Accounting,3,W,Spring2023
BUS135,Business Mathematics,3,W,Summer2023
LAW200,Legal Environment of Business,3,B,Summer2023
MIS207,Management Information Systems,3,B,Summer2023
ECO101,Intro to Microeconomics,3,W,Summer2023
ACT370,Taxation,3,W,Summer2023
ANT101,Anthropology,3,W,Fall2023
PHI401,Ethics / Philosophy,3,B,Spring2024
ENG103,Intermediate Composition,3,B,Spring2024
MGT212,Principles of Management,3,A,Spring2024
BUS173,Applied Statistics,3,B+,Spring2024
BUS172,Introduction to Statistics,3,B+,Spring2024
ACT320,Intermediate Accounting II,3,W,Spring2024
