course_code,course_name,credits,grade,semester
BUS251,Business Communication,3,B-,Fall2022
MGT212,Principles of Management,3,A,Spring2023
MGT489,Strategic Management,3,A,Spring2023
SOC101,Intro to Sociology,3,B-,Spring2023
ENV107,Environmental Science,3,C-,Summer2023
ECO104,Intro to Macroeconomics,3,A-,Fall2023
ECO244,Economic Development,3,C,Fall2023
HIS103,History of South Asia,3,C,Spring2024
ENG105,Advanced Composition,3,B+,Summer2024
ACT202,Intro to Managerial Accounting,3,A,Fall2024
ECO317,Public Economics,3,B+,Fall2024
