course_code,course_name,credits,grade,semester
BUS135,Business Mathematics,3,A,Summer2021
ECO101,Intro to Microeconomics,3,B,Summer2021
FIN254,Intro to Financial Management,3,D,Summer2021
BUS251,Business Communication,3,C+,Summer2021
INB372,International Business,3,F,Summer2021
ANT101,Anthropology,3,F,Summer2021
ACT320,Intermediate Accounting II,3,B-,Summer2021
MGT314,Production Management,3,A,Fall2021
LAW200,Legal Environment of Business,3,B-,Fall2021
BUS172,Introduction to Statistics,3,W,Fall2021
MGT351,Human Resource Management,3,C+,Fall2021
ACT202,Intro to Managerial Accounting,3,B,Fall2021
HIS103,History of South Asia,3,F,Fall2021
ENV107,Environmental Science,3,D,Fall2021
PSY101,Intro to Psychology,3,A-,Fall2021
PBH101L,Public Health Lab,1,D,Fall2021
ACT360,Advanced Managerial Accounting,3,B,Fall2021
BUS173,Applied Statistics,3,B,Spring2022
PHI401,Ethics / Philosophy,3,C-,Spring2022
MIS207,Management Information Systems,3,C-,Spring2022
ENG105,Advanced Composition,3,A-,Spring2022
ENG103,Intermediate Composition,3,F,Spring2022
POL101,Intro to Political Science,3,B+,Spring2022
ACT370,Taxation,3,C,Spring2022
ECO104,Intro to Macroeconomics,3,C,Summer2022
MGT212,Principles of Management,3,F,Summer2022
MGT368,Entrepreneurship,3,D,Summer2022
MIS107,Introduction to Computers,3,D,Summer2022
ACT201,Intro to Financial Accounting,3,D+,Summer2022
CHN101,Chinese Language,3,C-,Summer2022
ACT310,Intermediate Accounting I,3,D+,Summer2022
ACT430,Accounting Information Systems,3,D+,Summer2022
ACT410,Financial Statement Analysis,3,A-,Summer2022
BUS498,Internship,4,D,Summer2022
