course_code,course_name,credits,grade,semester
PBH101,Public Health,3,D,Summer2021
FIN254,Intro to Financial Management,3,C-,Spring2022
MGT470,Quality Management,3,F,Spring2023
MGT390,Warehouse Management,3,C-,Spring2023
ENG103,Intermediate Composition,3,B+,Summer2023
HIS101,Bangladesh History,3,C,Fall2023
ACT202,Intro to Managerial Accounting,3,B-,Spring2024
INB372,International Business,3,B-,Spring2024
MGT351,Human Resource Management,3,B+,Summer2024
SCM310,Supply Chain Management,3,B+,Summer2024
