course_code,course_name,credits,grade,semester
ACT202,Intro to Managerial Accounting,3,C,Summer2020
MIS207,Management Information Systems,3,B+,Summer2020
ECO104,Intro to Macroeconomics,3,A-,Summer2020
ECO101,Intro to Microeconomics,3,B,Summer2020
ENG103,Intermediate Composition,3,B+,Summer2020
LAW200,Legal Environment of Business,3,B-,Summer2020
BUS251,Business Communication,3,B-,Summer2020
INB372,International Business,3,A-,Summer2020
ACT201,Intro to Financial Accounting,3,B+,Summer2020
MGT314,Production Management,3,C+,Summer2020
HIS205,Modern History,3,B,Summer2020
HIS102,World Civilization,3,B,Summer2020
GEO205,Geography,3,A-,Summer2020
PHY107,Physics I,3,C-,Summer2020
MKT202,Introduction to Marketing,3,C,Fall2020
MGT351,Human Resource Management,3,B,Fall2020
PHI401,Ethics / Philosophy,3,B+,Fall2020
BUS135,Business Mathematics,3,B-,Fall2020
MGT368,Entrepreneurship,3,B,Fall2020
BUS172,Introduction to Statistics,3,C-,Fall2020
FIN254,Intro to Financial Management,3,C,Fall2020
ENG105,Advanced Composition,3,A-,Fall2020
BEN205,Bengali Literature,3,B-,Fall2020
POL104,Political Science,3,A-,Fall2020
BIO103,Biology I,3,A,Fall2020
BIO103L,Biology I Lab,1,B,Fall2020
MGT321,Organizational Behavior,3,B+,Fall2020
MGT330,Designing Effective Organizations,3,B,Fall2020
HRM370,Managerial Skill Development,3,A,Fall2020
MGT350,Managing Quality,3,A-,Fall2020
BUS498,Internship,4,C+,Fall2020
