course_code,course_name,credits,grade,semester
ACT201,Intro to Financial Accounting,3,C-,Spring2021
INB372,International Business,3,D+,Spring2021
BUS172,Introduction to Statistics,3,F,Spring2021
MIS107,Introduction to Computers,3,F,Spring2021
CHN101,Chinese Language,3,I,Spring2021
ENV107,Environmental Science,3,D,Spring2021
HRM340,Training and Development,3,F,Spring2021
HRM370,Managerial Skill Development,3,I,Spring2021
SOC101,Intro to Sociology,3,D,Summer2021
LAW200,Legal Environment of Business,3,D+,Fall2021
FIN254,Intro to Financial Management,3,I,Fall2021
HIS205,Modern History,3,D,Fall2021
MGT489,Strategic Management,3,D,Spring2022
BUS251,Business Communication,3,F,Spring2022
BUS135,Business Mathematics,3,D,Spring2022
PHI401,Ethics / Philosophy,3,D+,Spring2022
HIS103,History of South Asia,3,F,Spring2022
PBH101L,Public Health Lab,1,D+,Spring2022
HRM360,Planning and Staffing,3,I,Spring2022
MIS107,Introduction to Computers,3,D+,Fall2023
