course_code,course_name,credits,grade,semester
MIS107,Introduction to Computers,3,A,Summer2022
MGT212,Principles of Management,3,D+,Summer2022
HIS101,Bangladesh History,3,D+,Summer2022
MIS210,Computer Programming,3,C+,Summer2022
MGT489,Strategic Management,3,B,Fall2022
BUS135,Business Mathematics,3,D,Fall2022
ENG115,English Literature,3,B,Fall2022
POL101,Intro to Political Science,3,B,Fall2022
LAW200,Legal Environment of Business,3,C+,Spring2023
ECO101,Intro to Microeconomics,3,A,Spring2023
FIN254,Intro to Financial Management,3,C-,Spring2023
PHY107,Physics I,3,C-,Spring2023
PSY101,Intro to Psychology,3,B,Spring2023
BIO103L,Biology I Lab,1,B-,Spring2023
MIS499,Special Topics in MIS,3,B+,Spring2023
BUS173,Applied Statistics,3,B-,Summer2023
BUS251,Business Communication,3,F,Summer2023
ECO104,Intro to Macroeconomics,3,D+,Summer2023
MGT314,Production Management,3,B-,Summer2023
MKT202,Introduction to Marketing,3,C-,Summer2023
GEO205,Geography,3,A-,Summer2023
MGT368,Entrepreneurship,3,B-,Fall2023
