course_code,course_name,credits,grade,semester
PBH101,Public Health,3,D+,Summer2019
ECO104,Intro to Macroeconomics,3,C,Fall2019
MGT368,Entrepreneurship,3,B,Spring2020
ACT202,Intro to Managerial Accounting,3,B+,Summer2020
BIO103,Biology I,3,B,Summer2020
MIS450,IS Security,3,B,Summer2020
BIO103L,Biology I Lab,1,B-,Spring2021
PHI401,Ethics / Philosophy,3,B-,Summer2021
ENG103,Intermediate Composition,3,C+,Fall2021
POL101,Intro to Political Science,3,C+,Fall2021
MIS210,Computer Programming,3,C,Fall2021
