course_code,course_name,credits,grade,semester
BUS135,Business Mathematics,3,W,Spring2019
ENG103,Intermediate Composition,3,W,Spring2019
PSY101,Intro to Psychology,3,W,Spring2019
BUS251,Business Communication,3,B+,Summer2019
MIS107,Introduction to Computers,3,C,Summer2019
CHE101,Chemistry I,3,C+,Summer2019
MKT330,Retail Management,3,B+,Summer2019
PHI401,Ethics / Philosophy,3,W,Fall2019
ENV107L,Environmental Science Lab,1,W,Fall2019
ECO104,Intro to Macroeconomics,3,W,Spring2020
MGT314,Production Management,3,W,Spring2020
ACT202,Intro to Managerial Accounting,3,W,Spring2020
ECO101,Intro to Microeconomics,3,B+,Spring2020
INB372,International Business,3,C+,Summer2020
MKT355,Agricultural Marketing,3,C,Summer2020
FIN254,Intro to Financial Management,3,F,Fall2020
ENV107,Environmental Science,3,W,Fall2020
BUS172,Introduction to Statistics,3,C,Spring2021
POL104,Political Science,3,W,Spring2021
MKT337,Promotional Management,3,W,Spring2021
