course_code,course_name,credits,grade,semester
CSE323,Operating Systems Design,3,B,Spring2022
CSE331L,Microprocessor Interfacing Lab,1,B,Spring2022
CSE373,Design & Analysis of Algorithms,3,C-,Summer2022
CSE225,Data Structures & Algorithms,3,B,Summer2022
CSE215,Programming Language II,3,C-,Summer2022
EEE111,Analog Electronics I,3,A-,Summer2022
ACT201,Intro to Financial Accounting,3,A,Fall2022
HIS101,Bangladesh History,3,B,Fall2022
POL101,Intro to Political Science,3,C-,Fall2022
FIN435,Investment Theory,3,B,Fall2022
MKT202,Introduction to Marketing,3,A-,Spring2023
FIN433,Financial Markets and Institutions,3,D,Spring2023
PHI401,Ethics / Philosophy,3,C+,Spring2023
BUS172,Introduction to Statistics,3,C+,Spring2023
BUS251,Business Communication,3,C+,Summer2023
ECO104,Intro to Macroeconomics,3,W,Summer2023
MGT489,Strategic Management,3,D+,Summer2023
FIN440,Corporate Finance,3,A-,Fall2023
MIS207,Management Information Systems,3,C-,Fall2023
CHN101,Chinese Language,3,B,Spring2024
INB372,International Business,3,B,Summer2024
