course_code,course_name,credits,grade,semester
BUS172,Introduction to Statistics,3,A-,Fall2020
HRM340,Training and Development,3,A-,Fall2020
PHI401,Ethics / Philosophy,3,B+,Spring2021
MGT489,Strategic Management,3,B-,Spring2021
PAD201,Public Administration,3,B+,Summer2021
SOC101,Intro to Sociology,3,C,Summer2021
PHY107,Physics I,3,B-,Summer2021
FIN254,Intro to Financial Management,3,B,Fall2021
MGT212,Principles of Management,3,A,Fall2021
CHE101,Chemistry I,3,B,Fall2021
MGT314,Production Management,3,A,Spring2022
ACT202,Intro to Managerial Accounting,3,B+,Spring2022
MGT368,Entrepreneurship,3,A-,Spring2022
ENG103,Intermediate Composition,3,B,Spring2022
MIS207,Management Information Systems,3,B,Spring2022
HRM450,Industrial Relations,3,B+,Summer2022
HRM370,Managerial Skill Development,3,A,Summer2022
MIS107,Introduction to Computers,3,B,Fall2022
ENG105,Advanced Composition,3,B,Fall2022
LAW200,Legal Environment of Business,3,B-,Fall2022
CHN101,Chinese Language,3,B-,Fall2022
HRM360,Planning and Staffing,3,C-,Fall2022
HRM380,Compensation Theory and Practice,3,B-,Fall2022
HRM499,Special Topics in HRM,3,A,Fall2022
INB372,International Business,3,B+,Spring2023
ACT201,Intro to Financial Accounting,3,A,Spring2023
ECO104,Intro to Macroeconomics,3,C,Spring2023
MKT202,Introduction to Marketing,3,B,Spring2023
HIS205,Modern History,3,C,Spring2023
ECO101,Intro to Microeconomics,3,B-,Summer2023
BUS251,Business Communication,3,A-,Summer2023
BUS498,Internship,4,C+,Summer2023
