course_code,course_name,credits,grade,semester
MGT351,Human Resource Management,3,W,Spring2019
ENG103,Intermediate Composition,3,D,Spring2019
PHI401,Ethics / Philosophy,3,C-,Spring2019
ENV107L,Environmental Science Lab,1,C-,Spring2019
HRM340,Training and Development,3,W,Summer2019
MGT368,Entrepreneurship,3,C-,Fall2019
MGT212,Principles of Management,3,C,Fall2019
ACT202,Intro to Managerial Accounting,3,D,Fall2019
HRM470,Negotiations,3,F,Fall2019
BUS173,Applied Statistics,3,C,Spring2020
INB372,International Business,3,D,Spring2020
HRM370,Managerial Skill Development,3,D,Spring2020
ACT202,Intro to Managerial Accounting,3,D+,Summer2021
ENG103,Intermediate Composition,3,C+,Summer2023
