course_code,course_name,credits,grade,semester
ACT202,Intro to Managerial Accounting,3,B+,Summer2022
MIS107,Introduction to Computers,3,A-,Summer2022
BUS172,Introduction to Statistics,3,B,Summer2022
ENG105,Advanced Composition,3,C,Summer2022
HIS103,History of South Asia,3,D,Summer2022
PAD201,Public Administration,3,W,Summer2022
MIS320,IT for Managers,3,B,Summer2022
HRM450,Industrial Relations,3,B-,Summer2022
MIS207,Management Information Systems,3,F,Fall2022
MGT489,Strategic Management,3,B+,Fall2022
LAW200,Legal Environment of Business,3,C-,Fall2022
FIN254,Intro to Financial Management,3,D+,Spring2023
MKT202,Introduction to Marketing,3,D+,Spring2023
BEN205,Bengali Literature,3,B-,Spring2023
PBH101,Public Health,3,B-,Spring2023
MGT410,Entrepreneurship II,3,B,Spring2023
INB372,International Business,3,C,Summer2023
MGT351,Human Resource Management,3,A-,Summer2023
ENV107,Environmental Science,3,A-,Summer2023
MGT314,Production Management,3,B-,Fall2023
MGT368,Entrepreneurship,3,D,Fall2023
MGT212,Principles of Management,3,B+,Fall2023
CHE101,Chemistry I,3,D,Fall2023
PHI401,Ethics / Philosophy,3,D,Spring2024
BUS135,Business Mathematics,3,D,Spring2024
HIS102,World Civilization,3,C+,Spring2024
ENV107L,Environmental Science Lab,1,B-,Spring2024
MGT321,Organizational Behavior,3,B,Spring2024
HRM370,Managerial Skill Development,3,B,Spring2024
ACT201,Intro to Financial Accounting,3,A,Summer2024
ECO101,Intro to Microeconomics,3,A,Summer2024
ENG103,Intermediate Composition,3,C-,Summer2024
GEO205,Geography,3,C,Summer2024
MGT330,Designing Effective Organizations,3,A,Summer2024
BUS498,Internship,4,A-,Summer2024
