course_code,course_name,credits,grade,semester
MIS107,Introduction to Computers,3,A-,Fall2023
ENG103,Intermediate Composition,3,B-,Fall2023
BUS172,Introduction to Statistics,3,A-,Fall2023
ECO104,Intro to Macroeconomics,3,D,Fall2023
BEN205,Bengali Literature,3,B+,Fall2023
PAD201,Public Administration,3,A,Fall2023
HRM499,Special Topics in HRM,3,C-,Fall2023
FIN254,Intro to Financial Management,3,A-,Spring2024
BUS251,Business Communication,3,D,Spring2024
MGT212,Principles of Management,3,C+,Spring2024
INB372,International Business,3,C,Spring2024
ECO101,Intro to Microeconomics,3,A,Spring2024
HIS101,Bangladesh History,3,D+,Spring2024
PBH101,Public Health,3,C+,Spring2024
HRM340,Training and Development,3,C,Spring2024
HRM370,Managerial Skill Development,3,C+,Spring2024
MGT368,Entrepreneurship,3,B-,Summer2024
ENG105,Advanced Composition,3,A,Summer2024
MKT202,Introduction to Marketing,3,B-,Summer2024
ACT202,Intro to Managerial Accounting,3,B,Summer2024
BUS173,Applied Statistics,3,C-,Summer2024
HIS103,History of South Asia,3,B+,Summer2024
HRM360,Planning and Staffing,3,A-,Summer2024
ACT201,Intro to Financial Accounting,3,B+,Fall2024
MIS207,Management Information Systems,3,A-,Fall2024
MGT351,Human Resource Management,3,C,Fall2024
BUS135,Business Mathematics,3,D,Fall2024
MGT314,Production Management,3,A-,Fall2024
LAW200,Legal Environment of Business,3,A,Fall2024
MGT489,Strategic Management,3,C,Fall2024
GEO205,Geography,3,C-,Fall2024
PHY107,Physics I,3,W,Fall2024
ENV107,Environmental Science,3,F,Fall2024
PBH101L,Public Health Lab,1,B-,Fall2024
HRM380,Compensation Theory and Practice,3,B-,Fall2024
HRM450,Industrial Relations,3,D+,Fall2024
BUS498,Internship,4,C+,Fall2024
