course_code,course_name,credits,grade,semester
ENV107,Environmental Science,3,F,Spring2021
FIN254,Intro to Financial Management,3,C,Summer2021
SCM310,Supply Chain Management,3,D+,Summer2021
MGT490,Project Management,3,D,Summer2021
ACT201,Intro to Financial Accounting,3,C-,Fall2021
BEN205,Bengali Literature,3,W,Fall2021
HIS102,World Civilization,3,C,Fall2021
SCM320,Procurement and Inventory,3,C,Spring2022
ECO104,Intro to Macroeconomics,3,F,Summer2022
BUS173,Applied Statistics,3,F,Summer2022
SCM450,Supply Chain Analytics,3,C-,Summer2022
BUS172,Introduction to Statistics,3,F,Fall2022
MIS207,Management Information Systems,3,C-,Fall2022
ACT202,Intro to Managerial Accounting,3,C-,Fall2022
ENG103,Intermediate Composition,3,C-,Spring2023
MGT351,Human Resource Management,3,D+,Spring2023
MIS107,Introduction to Computers,3,C-,Summer2023
MGT212,Principles of Management,3,W,Summer2023
MGT470,Quality Management,3,D,Summer2023
BUS172,Introduction to Statistics,3,D+,Fall2024
