course_code,course_name,credits,grade,semester
CSE231,Digital Logic Design,3,D+,Fall2020
CSE331L,Microprocessor Interfacing Lab,1,B,Fall2020
CSE225,Data Structures & Algorithms,3,D,Spring2021
CSE299,Junior Design Project,1,C+,Spring2021
CSE311,Database Management Systems,3,A,Summer2021
CSE231L,Digital Logic Design Lab,1,D+,Summer2021
MGT351,Human Resource Management,3,B+,Fall2021
MGT330,Designing Effective Organizations,3,B-,Fall2021
MIS107,Introduction to Computers,3,B+,Spring2022
ACT201,Intro to Financial Accounting,3,C+,Summer2022
HRM370,Managerial Skill Development,3,B,Summer2022
MGT321,Organizational Behavior,3,B+,Summer2022
ECO104,Intro to Macroeconomics,3,C+,Fall2022
MGT368,Entrepreneurship,3,C+,Fall2022
MGT489,Strategic Management,3,C+,Fall2022
POL101,Intro to Political Science,3,B,Fall2022
PSY101,Intro to Psychology,3,A,Fall2022
MGT212,Principles of Management,3,B-,Fall2022
HIS103,History of South Asia,3,B-,Fall2022
ENG105,Advanced Composition,3,D+,Spring2023
HIS101,Bangladesh History,3,C-,Spring2023
ACT202,Intro to Managerial Accounting,3,C,Summer2023
