course_code,course_name,credits,grade,semester
HIS205,Modern History,3,T,Summer2019
BUS173,Applied Statistics,3,B+,Fall2019
BUS251,Business Communication,3,C+,Fall2019
ACT202,Intro to Managerial Accounting,3,C,Fall2019
PAD201,Public Administration,3,A-,Fall2019
LAW200,Legal Environment of Business,3,T,Spring2020
FIN410,Financial Statement Analysis,3,A-,Spring2020
PHI401,Ethics / Philosophy,3,A,Summer2020
MIS107,Introduction to Computers,3,A-,Summer2020
FIN480,Behavioural Finance,3,C,Summer2020
HIS103,History of South Asia,3,B,Fall2020
FIN440,Corporate Finance,3,T,Fall2020
MGT314,Production Management,3,T,Spring2021
ECO101,Intro to Microeconomics,3,A-,Spring2021
CHN101,Chinese Language,3,T,Spring2021
BIO103,Biology I,3,C+,Spring2021
MGT489,Strategic Management,3,B,Summer2021
PHY107L,Physics I Lab,1,A,Summer2021
ENG105,Advanced Composition,3,T,Fall2021
BUS135,Business Mathematics,3,T,Fall2021
BUS172,Introduction to Statistics,3,B+,Spring2022
FIN254,Intro to Financial Management,3,B,Spring2022
MIS207,Management Information Systems,3,B,Summer2022
GEO205,Geography,3,C,Summer2022
PHY107,Physics I,3,A-,Summer2022
FIN433,Financial Markets and Institutions,3,A,Summer2022
