course_code,course_name,credits,grade,semester
ACT201,Intro to Financial Accounting,3,B,Fall2020
ACT202,Intro to Managerial Accounting,3,B-,Fall2020
MKT412,Services Marketing,3,C+,Fall2020
BUS172,Introduction to Statistics,3,D,Spring2021
MKT445,Sales Management,3,F,Spring2021
MGT489,Strategic Management,3,C+,Summer2021
PBH101,Public Health,3,C,Summer2021
MKT470,Marketing Research,3,D,Summer2021
MIS207,Management Information Systems,3,C,Fall2021
MKT337,Promotional Management,3,D,Spring2022
MKT344,Consumer Behaviour,3,D+,Spring2022
ENG103,Intermediate Composition,3,C,Summer2022
INB372,International Business,3,D+,Summer2022
BEN205,Bengali Literature,3,C,Summer2022
HIS103,History of South Asia,3,C,Summer2022
MKT460,Strategic Marketing,3,F,Summer2022
BUS172,Introduction to Statistics,3,C,Fall2022
ENG105,Advanced Composition,3,C-,Fall2022
MKT202,Introduction to Marketing,3,C,Fall2022
BUS251,Business Communication,3,D+,Fall2022
