course_code,course_name,credits,grade,semester
BUS172,Introduction to Statistics,3,A,Spring2020
MKT417,Export-Import Management,3,A-,Spring2020
INB495,Special Topics in INB,3,A,Spring2020
LAW200,Legal Environment of Business,3,B+,Summer2020
BUS135,Business Mathematics,3,A-,Summer2020
MGT489,Strategic Management,3,A,Summer2020
ENG105,Advanced Composition,3,B+,Summer2020
PHI401,Ethics / Philosophy,3,A-,Fall2020
MIS107,Introduction to Computers,3,B+,Fall2020
FIN254,Intro to Financial Management,3,A-,Fall2020
MGT351,Human Resource Management,3,B-,Fall2020
POL104,Political Science,3,A,Fall2020
MIS207,Management Information Systems,3,B-,Spring2021
ECO101,Intro to Microeconomics,3,A-,Spring2021
ACT202,Intro to Managerial Accounting,3,A-,Spring2021
MKT202,Introduction to Marketing,3,A-,Spring2021
PSY101L,Psychology Lab,1,A-,Spring2021
INB480,Global Business Strategy,3,B+,Spring2021
ECO104,Intro to Macroeconomics,3,B+,Summer2021
ENV107,Environmental Science,3,A-,Summer2021
MKT382,International Marketing,3,A,Summer2021
BUS173,Applied Statistics,3,A,Fall2021
ENG103,Intermediate Composition,3,B+,Fall2021
INB372,International Business,3,A,Fall2021
INB490,Cross-Cultural Management,3,B+,Fall2021
MGT314,Production Management,3,B+,Spring2022
MGT212,Principles of Management,3,A,Spring2022
CHN101,Chinese Language,3,B,Spring2022
HIS102,World Civilization,3,A-,Spring2022
PHY107,Physics I,3,B+,Spring2022
MGT368,Entrepreneurship,3,C+,Summer2022
GEO205,Geography,3,A,Summer2022
BUS251,Business Communication,3,B,Fall2022
PSY101,Intro to Psychology,3,B-,Fall2022
INB400,International Trade and Finance,3,B+,Fall2022
ACT201,Intro to Financial Accounting,3,A-,Spring2023
HIS103,History of South Asia,3,B+,Spring2023
BUS498,Internship,4,A-,Spring2023
