course_code,course_name,credits,grade,semester
ENG103,Intermediate Composition,3,A,Summer2019
MIS107,Introduction to Computers,3,A-,Summer2019
LAW200,Legal Environment of Business,3,T,Summer2019
ANT101,Anthropology,3,B+,Summer2019
BIO103,Biology I,3,B,Summer2019
BUS173,Applied Statistics,3,T,Fall2019
MIS207,Management Information Systems,3,B+,Fall2019
MGT212,Principles of Management,3,C,Fall2019
PHI401,Ethics / Philosophy,3,A-,Fall2019
CHE101,Chemistry I,3,A-,Fall2019
INB490,Cross-Cultural Management,3,A,Fall2019
MGT314,Production Management,3,A,Spring2020
MGT368,Entrepreneurship,3,B,Spring2020
ENG115,English Literature,3,T,Summer2020
INB480,Global Business Strategy,3,B+,Summer2020
MKT202,Introduction to Marketing,3,B,Fall2020
BUS172,Introduction to Statistics,3,A,Fall2020
BUS135,Business Mathematics,3,B+,Fall2020
INB400,International Trade and Finance,3,A,Fall2020
MKT382,International Marketing,3,C+,Fall2020
HIS103,History of South Asia,3,B,Spring2021
ENV107,Environmental Science,3,A-,Spring2021
