course_code,course_name,credits,grade,semester
MGT212,Principles of Management,3,C,Fall2020
CHN101,Chinese Language,3,D,Fall2020
PHI401,Ethics / Philosophy,3,B-,Summer2021
MGT489,Strategic Management,3,D+,Summer2021
ECO104,Intro to Macroeconomics,3,D,Spring2022
ACT320,Intermediate Accounting II,3,D,Spring2022
ACT360,Advanced Managerial Accounting,3,F,Spring2022
ACT460,Advanced Financial Accounting,3,B,Spring2022
ENG103,Intermediate Composition,3,D+,Summer2022
ACT310,Intermediate Accounting I,3,F,Summer2022
ECO104,Intro to Macroeconomics,3,B,Fall2022
MIS107,Introduction to Computers,3,D+,Spring2023
BIO103,Biology I,3,C,Summer2023
BUS135,Business Mathematics,3,C,Fall2023
