course_code,course_name,credits,grade,semester
MGT489,Strategic Management,3,A-,Fall2019
PAD201,Public Administration,3,C-,Fall2019
FIN464,Derivatives,3,C+,Fall2019
MKT202,Introduction to Marketing,3,C+,Summer2020
HIS205,Modern History,3,C-,Summer2020
FIN410,Financial Statement Analysis,3,A,Summer2020
ECO101,Intro to Microeconomics,3,B+,Fall2020
ENG103,Intermediate Composition,3,C+,Fall2020
FIN254,Intro to Financial Management,3,C-,Fall2020
ENV107,Environmental Science,3,B,Fall2020
PSY101L,Psychology Lab,1,C-,Fall2020
HIS102,World Civilization,3,C+,Spring2021
