course_code,course_name,credits,grade,semester
ENG103,Intermediate Composition,3,A,Summer2019
INB372,International Business,3,A,Summer2019
POL101,Intro to Political Science,3,A-,Summer2019
HRM370,Managerial Skill Development,3,A,Summer2019
HRM499,Special Topics in HRM,3,A-,Summer2019
MIS207,Management Information Systems,3,C,Fall2019
HIS205,Modern History,3,C+,Fall2019
ENG105,Advanced Composition,3,B,Spring2020
MGT314,Production Management,3,B-,Spring2020
HIS103,History of South Asia,3,B,Spring2020
