course_code,course_name,credits,grade,semester
MAT116,Pre-Calculus,3,A-,Fall2019
PHY108,Physics II,3,C+,Fall2019
CSE425,Concepts of Programming Languages,3,W,Fall2019
CHE101,Chemistry I,3,B+,Fall2019
MAT361,Differential Equations,3,W,Fall2019
CEE110,Engineering Drawing,1,W,Fall2019
CSE215L,Programming Language II Lab,1,W,Fall2019
MAT250,Calculus III,3,W,Fall2019
PHY108L,Physics II Lab,1,C,Fall2019
EEE452,Engineering Economics,3,B,Fall2019
CSE299,Junior Design Project,1,W,Spring2020
ENG103,Intermediate Composition,3,C+,Spring2020
ENG111,Public Speaking,3,B+,Spring2020
CSE331L,Microprocessor Interfacing Lab,1,W,Spring2020
HIS101,Bangladesh History,3,B,Spring2020
CSE173,Discrete Mathematics,3,C,Spring2020
MAT125,Linear Algebra,3,W,Spring2020
CSE311,Database Management Systems,3,B+,Spring2020
EEE111L,Analog Electronics I Lab,1,C+,Spring2020
CSE225,Data Structures & Algorithms,3,W,Spring2020
CSE327,Software Engineering,3,W,Spring2020
HIS102,World Civilization,3,B+,Spring2020
CSE373,Design & Analysis of Algorithms,3,B,Spring2020
