course_code,course_name,credits,grade,semester
MGT368,Entrepreneurship,3,A-,Summer2019
PHI401,Ethics / Philosophy,3,B+,Summer2019
MGT314,Production Management,3,B+,Summer2019
ENG105,Advanced Composition,3,B+,Summer2019
INB372,International Business,3,B+,Summer2019
HIS102,World Civilization,3,A-,Summer2019
HIS205,Modern History,3,A,Summer2019
POL104,Political Science,3,B,Summer2019
ENV107,Environmental Science,3,B,Summer2019
ECO328,Econometrics,3,B-,Summer2019
BUS135,Business Mathematics,3,A-,Fall2019
ACT202,Intro to Managerial Accounting,3,B+,Fall2019
MIS107,Introduction to Computers,3,A,Fall2019
ENG103,Intermediate Composition,3,A,Fall2019
MGT351,Human Resource Management,3,B,Fall2019
ANT101,Anthropology,3,A,Fall2019
ECO201,Intermediate Microeconomics,3,A,Fall2019
ECO204,Intermediate Macroeconomics,3,B+,Fall2019
ECO244,Economic Development,3,B,Fall2019
ECO354,Advanced Microeconomics,3,B+,Fall2019
MGT212,Principles of Management,3,C+,Spring2020
BUS251,Business Communication,3,B+,Spring2020
ECO104,Intro to Macroeconomics,3,B-,Spring2020
BUS173,Applied Statistics,3,A,Spring2020
BUS172,Introduction to Statistics,3,A,Spring2020
LAW200,Legal Environment of Business,3,B-,Spring2020
BIO103,Biology I,3,B+,Spring2020
ENV107L,Environmental Science Lab,1,B-,Spring2020
MIS207,Management Information Systems,3,A,Summer2020
MGT489,Strategic Management,3,B,Summer2020
ACT201,Intro to Financial Accounting,3,A,Summer2020
MKT202,Introduction to Marketing,3,A-,Summer2020
FIN254,Intro to Financial Management,3,B-,Summer2020
ECO101,Intro to Microeconomics,3,B,Summer2020
ENG115,English Literature,3,B+,Summer2020
CHE101,Chemistry I,3,B-,Summer2020
ECO348,Mathematical Economics,3,A-,Summer2020
BUS498,Internship,4,A-,Summer2020
