course_code,course_name,credits,grade,semester
BUS251,Business Communication,3,A-,Spring2024
MGT212,Principles of Management,3,B+,Spring2024
ACT201,Intro to Financial Accounting,3,B+,Spring2024
BEN205,Bengali Literature,3,T,Spring2024
ENV107,Environmental Science,3,C+,Spring2024
MGT321,Organizational Behavior,3,A,Spring2024
ECO101,Intro to Microeconomics,3,B,Summer2024
MGT330,Designing Effective Organizations,3,B,Summer2024
MGT410,Entrepreneurship II,3,B,Summer2024
HRM470,Negotiations,3,B+,Summer2024
MGT490,Project Management,3,T,Summer2024
MKT202,Introduction to Marketing,3,T,Fall2024
ENG103,Intermediate Composition,3,T,Fall2024
MGT368,Entrepreneurship,3,B+,Fall2024
MGT351,Human Resource Management,3,T,Fall2024
ACT202,Intro to Managerial Accounting,3,A,Fall2024
MGT489,Strategic Management,3,A,Fall2024
HIS102,World Civilization,3,A,Fall2024
PHY107,Physics I,3,C+,Fall2024
PBH101L,Public Health Lab,1,B,Fall2024
HRM370,Managerial Skill Development,3,T,Fall2024
