course_code,course_name,credits,grade,semester
ECO101,Intro to Microeconomics,3,D+,Spring2019
MKT202,Introduction to Marketing,3,C,Spring2019
MGT351,Human Resource Management,3,F,Spring2019
HIS205,Modern History,3,B,Spring2019
POL104,Political Science,3,F,Spring2019
BIO103,Biology I,3,C,Spring2019
HRM360,Planning and Staffing,3,C+,Spring2019
HRM370,Managerial Skill Development,3,D,Spring2019
MGT314,Production Management,3,D,Summer2019
ECO104,Intro to Macroeconomics,3,C-,Summer2019
ENG105,Advanced Composition,3,D,Summer2019
FIN254,Intro to Financial Management,3,C-,Summer2019
ACT202,Intro to Managerial Accounting,3,B-,Summer2019
ACT201,Intro to Financial Accounting,3,D,Summer2019
BUS135,Business Mathematics,3,F,Summer2019
HIS101,Bangladesh History,3,B-,Summer2019
ENV107L,Environmental Science Lab,1,D+,Summer2019
HRM340,Training and Development,3,C-,Summer2019
HRM380,Compensation Theory and Practice,3,C,Summer2019
MGT351,Human Resource Management,3,F,Spring2024
MGT314,Production Management,3,B,Summer2024
