course_code,course_name,credits,grade,semester
BUS172,Introduction to Statistics,3,F,Summer2023
LAW200,Legal Environment of Business,3,D+,Summer2023
HIS205,Modern History,3,I,Summer2023
MGT489,Strategic Management,3,F,Fall2023
CHN101,Chinese Language,3,I,Fall2023
HIS102,World Civilization,3,D+,Fall2023
MGT321,Organizational Behavior,3,D,Fall2023
MGT330,Designing Effective Organizations,3,I,Fall2023
PHI401,Ethics / Philosophy,3,D+,Spring2024
BUS172,Introduction to Statistics,3,F,Spring2024
FIN254,Intro to Financial Management,3,C-,Spring2024
BIO103,Biology I,3,D,Spring2024
ENG103,Intermediate Composition,3,F,Summer2024
PHY107,Physics I,3,D+,Summer2024
MIS107,Introduction to Computers,3,I,Fall2024
BUS251,Business Communication,3,F,Fall2024
MGT314,Production Management,3,F,Fall2024
INB372,International Business,3,D+,Fall2024
POL101,Intro to Political Science,3,F,Fall2024
SOC101,Intro to Sociology,3,F,Fall2024
HRM370,Managerial Skill Development,3,F,Fall2024
MGT410,Entrepreneurship II,3,C-,Fall2024
