course_code,course_name,credits,grade,semester
FIN254,Intro to Financial Management,3,W,Summer2019
ACT201,Intro to Financial Accounting,3,W,Summer2019
MIS107,Introduction to Computers,3,B,Summer2019
MGT368,Entrepreneurship,3,B,Summer2019
BIO103,Biology I,3,B,Summer2019
INB480,Global Business Strategy,3,W,Summer2019
PHI401,Ethics / Philosophy,3,W,Fall2019
ECO104,Intro to Macroeconomics,3,W,Fall2019
MGT314,Production Management,3,B+,Fall2019
PAD201,Public Administration,3,W,Fall2019
SOC101,Intro to Sociology,3,D,Fall2019
MKT417,Export-Import Management,3,D,Fall2019
MGT489,Strategic Management,3,W,Spring2020
HIS101,Bangladesh History,3,W,Spring2020
ENG103,Intermediate Composition,3,W,Summer2020
MGT351,Human Resource Management,3,B+,Summer2020
MIS207,Management Information Systems,3,C,Summer2020
HIS103,History of South Asia,3,C,Summer2020
ENV107,Environmental Science,3,B,Summer2020
PBH101,Public Health,3,B+,Summer2020
INB400,International Trade and Finance,3,W,Summer2020
INB490,Cross-Cultural Management,3,W,Summer2020
