course_code,course_name,credits,grade,semester
ACT202,Intro to Managerial Accounting,3,C-,Fall2021
ECO101,Intro to Microeconomics,3,C,Fall2021
MGT368,Entrepreneurship,3,B+,Fall2021
PSY101,Intro to Psychology,3,A-,Fall2021
PHI401,Ethics / Philosophy,3,W,Spring2022
BUS172,Introduction to Statistics,3,C,Spring2023
ENV107,Environmental Science,3,B+,Spring2023
MIS207,Management Information Systems,3,C-,Fall2023
LAW200,Legal Environment of Business,3,D,Fall2023
MKT445,Sales Management,3,C+,Fall2023
BUS251,Business Communication,3,B,Spring2024
ECO104,Intro to Macroeconomics,3,D,Spring2024
ENG103,Intermediate Composition,3,D,Spring2024
PBH101,Public Health,3,B+,Spring2024
MKT337,Promotional Management,3,D,Spring2024
