course_code,course_name,credits,grade,semester
LAW200,Legal Environment of Business,3,B-,Fall2020
PBH101,Public Health,3,A-,Summer2021
BIO103L,Biology I Lab,1,C-,Fall2021
SCM310,Supply Chain Management,3,B,Fall2021
SCM450,Supply Chain Analytics,3,A-,Fall2021
ENG103,Intermediate Composition,3,C,Spring2022
ACT202,Intro to Managerial Accounting,3,C-,Spring2022
ACT201,Intro to Financial Accounting,3,B,Spring2022
PAD201,Public Administration,3,F,Spring2022
MGT314,Production Management,3,B,Summer2022
CHE101,Chemistry I,3,D,Summer2022
SCM320,Procurement and Inventory,3,B-,Summer2022
MGT490,Project Management,3,D,Summer2022
ENG105,Advanced Composition,3,B,Fall2022
BUS251,Business Communication,3,D+,Fall2022
BUS173,Applied Statistics,3,C-,Spring2023
BUS172,Introduction to Statistics,3,B,Spring2023
MKT202,Introduction to Marketing,3,A,Fall2023
BIO103,Biology I,3,F,Fall2023
