course_code,course_name,credits,grade,semester
MGT212,Principles of Management,3,F,Summer2019
MGT368,Entrepreneurship,3,C-,Summer2019
ECO104,Intro to Macroeconomics,3,C,Summer2019
PBH101,Public Health,3,D,Summer2019
FIN254,Intro to Financial Management,3,C-,Fall2019
ANT101,Anthropology,3,C,Fall2019
PBH101L,Public Health Lab,1,C,Fall2019
MGT351,Human Resource Management,3,D+,Spring2020
MKT202,Introduction to Marketing,3,F,Summer2020
MGT489,Strategic Management,3,F,Fall2020
BUS172,Introduction to Statistics,3,C-,Fall2020
BUS135,Business Mathematics,3,W,Fall2020
MGT490,Project Management,3,C,Fall2020
MIS410,Systems Design,3,W,Fall2020
INB372,International Business,3,D+,Spring2021
MIS107,Introduction to Computers,3,F,Spring2021
ACT201,Intro to Financial Accounting,3,D+,Summer2021
MIS210,Computer Programming,3,D,Summer2021
MIS310,Systems Analysis,3,F,Summer2021
