course_code,course_name,credits,grade,semester
ECO104,Intro to Macroeconomics,3,D+,Spring2022
MGT351,Human Resource Management,3,F,Spring2022
MGT212,Principles of Management,3,D,Summer2022
ACT201,Intro to Financial Accounting,3,F,Summer2022
ENG105,Advanced Composition,3,W,Summer2022
BUS135,Business Mathematics,3,W,Summer2022
MGT212,Principles of Management,3,C+,Fall2022
LAW200,Legal Environment of Business,3,F,Fall2022
MIS107,Introduction to Computers,3,W,Fall2022
PHI401,Ethics / Philosophy,3,D,Fall2022
BUS173,Applied Statistics,3,C-,Spring2023
PAD201,Public Administration,3,C-,Spring2023
FIN433,Financial Markets and Institutions,3,D+,Spring2023
HIS103,History of South Asia,3,D,Summer2023
HIS205,Modern History,3,F,Summer2023
ACT201,Intro to Financial Accounting,3,C,Fall2023
MGT351,Human Resource Management,3,B,Spring2024
