course_code,course_name,credits,grade,semester
BUS172,Introduction to Statistics,3,T,Spring2023
MGT368,Entrepreneurship,3,T,Spring2023
ECO101,Intro to Microeconomics,3,C+,Spring2023
PBH101,Public Health,3,A-,Spring2023
BIO103L,Biology I Lab,1,A-,Spring2023
BUS173,Applied Statistics,3,B+,Fall2023
PHI401,Ethics / Philosophy,3,C,Fall2023
SCM310,Supply Chain Management,3,T,Fall2023
FIN254,Intro to Financial Management,3,A-,Spring2024
MGT351,Human Resource Management,3,A-,Summer2024
ACT202,Intro to Managerial Accounting,3,C,Fall2024
ACT201,Intro to Financial Accounting,3,A-,Fall2024
LAW200,Legal Environment of Business,3,B,Fall2024
BUS135,Business Mathematics,3,C,Fall2024
SOC101,Intro to Sociology,3,B+,Fall2024
ENV107,Environmental Science,3,C,Fall2024
