course_code,course_name,credits,grade,semester
MGT212,Principles of Management,3,B-,Spring2019
ECO104,Intro to Macroeconomics,3,C,Spring2019
ECO101,Intro to Microeconomics,3,D,Summer2019
BUS173,Applied Statistics,3,C,Summer2019
MGT351,Human Resource Management,3,F,Summer2019
HIS101,Bangladesh History,3,D+,Summer2019
BUS135,Business Mathematics,3,F,Fall2019
MGT368,Entrepreneurship,3,B-,Fall2019
BUS251,Business Communication,3,B-,Fall2019
ENG103,Intermediate Composition,3,D,Fall2019
FIN433,Financial Markets and Institutions,3,C-,Fall2019
FIN440,Corporate Finance,3,D,Fall2019
ACT201,Intro to Financial Accounting,3,B,Spring2020
MGT314,Production Management,3,D,Spring2020
PAD201,Public Administration,3,C,Spring2020
FIN470,Insurance and Risk Management,3,C+,Spring2020
MGT314,Production Management,3,D,Spring2021
ECO101,Intro to Microeconomics,3,D+,Summer2021
ENG103,Intermediate Composition,3,D,Fall2024
