course_code,course_name,credits,grade,semester
MGT212,Principles of Management,3,W,Fall2021
HRM370,Managerial Skill Development,3,C+,Fall2021
PHY107,Physics I,3,C-,Spring2022
BUS173,Applied Statistics,3,A-,Summer2022
ACT202,Intro to Managerial Accounting,3,C,Summer2022
PBH101,Public Health,3,D+,Summer2022
MGT314,Production Management,3,B,Fall2022
HIS103,History of South Asia,3,A,Fall2022
PSY101,Intro to Psychology,3,D,Fall2022
ECO101,Intro to Microeconomics,3,B-,Spring2023
BUS135,Business Mathematics,3,B+,Spring2023
ENG105,Advanced Composition,3,C,Fall2023
HRM360,Planning and Staffing,3,F,Fall2023
ENG103,Intermediate Composition,3,F,Spring2024
PHI401,Ethics / Philosophy,3,D,Spring2024
MGT489,Strategic Management,3,C-,Spring2024
MKT202,Introduction to Marketing,3,C-,Summer2024
HRM340,Training and Development,3,B+,Summer2024
