course_code,course_name,credits,grade,semester
ACT202,Intro to Managerial Accounting,3,T,Summer2020
ENG103,Intermediate Composition,3,T,Summer2020
HIS103,History of South Asia,3,T,Summer2020
HIS205,Modern History,3,T,Summer2020
ECO328,Econometrics,3,T,Summer2020
ECO301,Monetary Economics,3,C,Summer2020
MGT314,Production Management,3,A-,Fall2020
INB372,International Business,3,C+,Fall2020
BUS135,Business Mathematics,3,T,Fall2020
MGT489,Strategic Management,3,A,Fall2020
ECO201,Intermediate Microeconomics,3,B,Fall2020
ECO204,Intermediate Macroeconomics,3,T,Fall2020
BUS173,Applied Statistics,3,T,Spring2021
MIS107,Introduction to Computers,3,A,Spring2021
MGT368,Entrepreneurship,3,T,Spring2021
MGT351,Human Resource Management,3,T,Spring2021
ECO101,Intro to Microeconomics,3,C,Spring2021
ENV107,Environmental Science,3,C+,Spring2021
ECO348,Mathematical Economics,3,A-,Spring2021
