course_code,course_name,credits,grade,semester
BUS173,Applied Statistics,3,B,Summer2019
MIS107,Introduction to Computers,3,A-,Summer2019
ECO104,Intro to Macroeconomics,3,A,Summer2019
ECO101,Intro to Microeconomics,3,A,Summer2019
HIS102,World Civilization,3,A-,Summer2019
HIS205,Modern History,3,A,Summer2019
POL101,Intro to Political Science,3,B,Summer2019
MIS210,Computer Programming,3,B,Summer2019
MGT212,Principles of Management,3,B-,Fall2019
ACT202,Intro to Managerial Accounting,3,B,Fall2019
BUS135,Business Mathematics,3,A,Fall2019
LAW200,Legal Environment of Business,3,A,Fall2019
PHY107,Physics I,3,A,Fall2019
MIS470,IT Project Management,3,A,Fall2019
MIS450,IS Security,3,B-,Fall2019
ACT201,Intro to Financial Accounting,3,A-,Spring2020
MGT489,Strategic Management,3,B,Spring2020
MIS207,Management Information Systems,3,A,Spring2020
BUS251,Business Communication,3,B+,Spring2020
ENG103,Intermediate Composition,3,B+,Spring2020
CHN101,Chinese Language,3,B+,Spring2020
MIS310,Systems Analysis,3,A,Spring2020
MIS320,IT for Managers,3,C+,Spring2020
INB372,International Business,3,B+,Summer2020
MKT202,Introduction to Marketing,3,B-,Summer2020
MGT314,Production Management,3,B+,Summer2020
MGT351,Human Resource Management,3,B-,Summer2020
PHI401,Ethics / Philosophy,3,A-,Summer2020
MGT368,Entrepreneurship,3,A-,Summer2020
ENG105,Advanced Composition,3,B-,Summer2020
BUS172,Introduction to Statistics,3,B+,Summer2020
FIN254,Intro to Financial Management,3,A-,Summer2020
ANT101,Anthropology,3,A,Summer2020
ENV107,Environmental Science,3,C+,Summer2020
PSY101,Intro to Psychology,3,A,Summer2020
ENV107L,Environmental Science Lab,1,B+,Summer2020
MIS410,Systems Design,3,B+,Summer2020
BUS498,Internship,4,A,Summer2020
