course_code,course_name,credits,grade,semester
MGT351,Human Resource Management,3,D,Summer2019
MIS210,Computer Programming,3,D+,Fall2019
BUS135,Business Mathematics,3,I,Spring2020
ENG105,Advanced Composition,3,D,Spring2020
INB372,International Business,3,F,Summer2020
MIS320,IT for Managers,3,D+,Summer2020
ACT202,Intro to Managerial Accounting,3,I,Fall2020
ENG105,Advanced Composition,3,F,Fall2020
HIS205,Modern History,3,D,Fall2020
MIS310,Systems Analysis,3,D,Fall2020
BUS251,Business Communication,3,C-,Spring2021
ECO101,Intro to Microeconomics,3,D+,Spring2021
MIS330,Database Systems,3,F,Spring2021
FIN254,Intro to Financial Management,3,F,Fall2021
BUS173,Applied Statistics,3,C-,Fall2021
INB372,International Business,3,C,Summer2023
FIN254,Intro to Financial Management,3,F,Summer2024
ACT202,Intro to Managerial Accounting,3,C,Fall2024
