course_code,course_name,credits,grade,semester
MGT314,Production Management,3,D,Summer2020
ENG103,Intermediate Composition,3,D,Summer2021
MGT350,Managing Quality,3,D,Summer2021
INB372,International Business,3,C-,Fall2021
MIS107,Introduction to Computers,3,C,Fall2021
BUS251,Business Communication,3,B,Fall2021
ENV107,Environmental Science,3,C+,Fall2021
ACT202,Intro to Managerial Accounting,3,D+,Spring2022
FIN254,Intro to Financial Management,3,C,Spring2022
PSY101,Intro to Psychology,3,D,Spring2022
MGT321,Organizational Behavior,3,D+,Spring2022
ENG103,Intermediate Composition,3,F,Summer2022
ECO104,Intro to Macroeconomics,3,D+,Spring2023
MIS207,Management Information Systems,3,D,Spring2023
