course_code,course_name,credits,grade,semester
MGT351,Human Resource Management,3,B,Summer2021
BUS173,Applied Statistics,3,W,Summer2021
MGT368,Entrepreneurship,3,D,Summer2021
ECO104,Intro to Macroeconomics,3,B,Summer2021
MGT314,Production Management,3,W,Summer2021
BIO103L,Biology I Lab,1,B+,Summer2021
FIN433,Financial Markets and Institutions,3,D,Summer2021
FIN440,Corporate Finance,3,B+,Summer2021
MKT202,Introduction to Marketing,3,C,Fall2021
MGT212,Principles of Management,3,W,Fall2021
ANT101,Anthropology,3,B+,Fall2021
PHI401,Ethics / Philosophy,3,W,Spring2022
MIS107,Introduction to Computers,3,W,Spring2022
MGT489,Strategic Management,3,W,Spring2022
HIS101,Bangladesh History,3,B+,Spring2022
HIS102,World Civilization,3,C,Spring2022
POL104,Political Science,3,B+,Spring2022
ENV107,Environmental Science,3,A,Spring2022
FIN455,Financial Modelling Using Excel,3,W,Spring2022
INB372,International Business,3,B,Summer2022
MIS207,Management Information Systems,3,W,Summer2022
ENG103,Intermediate Composition,3,W,Summer2022
ACT201,Intro to Financial Accounting,3,W,Summer2022
CHN101,Chinese Language,3,D,Summer2022
BIO103,Biology I,3,B,Summer2022
FIN435,Investment Theory,3,W,Summer2022
FIN410,Financial Statement Analysis,3,W,Summer2022
