course_code,course_name,credits,grade,semester
MAT116,Pre-Calculus,3,A-,Summer2019
CSE225L,Data Structures & Algorithms Lab,1,B,Summer2019
CSE327,Software Engineering,3,C-,Fall2019
EEE141L,Electrical Circuits I Lab,1,B,Fall2019
CSE425,Concepts of Programming Languages,3,C+,Fall2019
EEE111L,Analog Electronics I Lab,1,A-,Spring2020
CSE231L,Digital Logic Design Lab,1,B-,Spring2020
CSE332,Computer Organization & Architecture,3,D+,Spring2020
CSE323,Operating Systems Design,3,A-,Summer2020
CSE225,Data Structures & Algorithms,3,C,Summer2020
CSE311L,Database Management Systems Lab,1,B-,Summer2020
MIS107,Introduction to Computers,3,C-,Fall2020
MIS320,IT for Managers,3,B+,Spring2021
MGT212,Principles of Management,3,C-,Spring2021
ENV107L,Environmental Science Lab,1,D+,Summer2021
MIS210,Computer Programming,3,B+,Summer2021
BUS172,Introduction to Statistics,3,F,Summer2021
MGT368,Entrepreneurship,3,B,Summer2021
PSY101,Intro to Psychology,3,A,Summer2021
INB372,International Business,3,B,Fall2021
MGT351,Human Resource Management,3,D+,Fall2021
PAD201,Public Administration,3,A,Summer2022
ENG103,Intermediate Composition,3,A,Summer2022
MIS450,IS Security,3,A-,Summer2022
ENG105,Advanced Composition,3,C-,Fall2022
MIS310,Systems Analysis,3,F,Fall2022
MIS207,Management Information Systems,3,C,Fall2022
CHE101,Chemistry I,3,B,Spring2023
SOC101,Intro to Sociology,3,B+,Spring2023
