course_code,course_name,credits,grade,semester
MGT489,Strategic Management,3,B,Spring2022
ENG103,Intermediate Composition,3,D,Spring2022
MKT202,Introduction to Marketing,3,D+,Spring2022
INB400,International Trade and Finance,3,C,Spring2022
ACT201,Intro to Financial Accounting,3,C,Summer2022
ENG105,Advanced Composition,3,C-,Summer2022
HIS101,Bangladesh History,3,C+,Summer2022
ENG103,Intermediate Composition,3,D,Fall2022
MIS107,Introduction to Computers,3,C+,Spring2023
MIS207,Management Information Systems,3,C-,Spring2023
MGT212,Principles of Management,3,B,Spring2023
BUS251,Business Communication,3,F,Spring2023
ECO101,Intro to Microeconomics,3,D+,Spring2023
INB480,Global Business Strategy,3,C-,Spring2023
PHI401,Ethics / Philosophy,3,C+,Summer2023
MKT417,Export-Import Management,3,B-,Summer2023
MGT368,Entrepreneurship,3,C+,Fall2023
BUS173,Applied Statistics,3,C,Fall2023
INB490,Cross-Cultural Management,3,D+,Fall2023
BUS251,Business Communication,3,F,Spring2024
INB372,International Business,3,C,Summer2024
PBH101,Public Health,3,C,Summer2024
