course_code,course_name,credits,grade,semester
CHN101,Chinese Language,3,C-,Spring2021
ENV107,Environmental Science,3,W,Spring2021
BIO103L,Biology I Lab,1,C-,Spring2021
MGT330,Designing Effective Organizations,3,D+,Spring2021
MGT314,Production Management,3,D,Summer2021
MIS207,Management Information Systems,3,C-,Summer2021
MGT351,Human Resource Management,3,W,Summer2021
BIO103,Biology I,3,C-,Summer2021
MGT410,Entrepreneurship II,3,D+,Summer2021
MGT212,Principles of Management,3,C,Fall2021
ACT201,Intro to Financial Accounting,3,D,Spring2022
ENG105,Advanced Composition,3,C,Spring2022
INB372,International Business,3,F,Spring2022
ACT201,Intro to Financial Accounting,3,C+,Summer2022
FIN254,Intro to Financial Management,3,F,Summer2022
MIS107,Introduction to Computers,3,W,Summer2022
MGT321,Organizational Behavior,3,C-,Summer2022
HRM370,Managerial Skill Development,3,D+,Summer2022
FIN254,Intro to Financial Management,3,D,Fall2022
