course_code,course_name,credits,grade,semester
MGT368,Entrepreneurship,3,B+,Spring2023
MIS207,Management Information Systems,3,A-,Spring2023
LAW200,Legal Environment of Business,3,A,Spring2023
MGT314,Production Management,3,A,Spring2023
MGT489,Strategic Management,3,B,Spring2023
PHI401,Ethics / Philosophy,3,A-,Spring2023
FIN254,Intro to Financial Management,3,A-,Spring2023
MIS107,Introduction to Computers,3,A-,Spring2023
BUS172,Introduction to Statistics,3,A-,Spring2023
INB372,International Business,3,B,Spring2023
ACT202,Intro to Managerial Accounting,3,B+,Spring2023
BUS173,Applied Statistics,3,B+,Spring2023
ENG115,English Literature,3,B+,Spring2023
HIS205,Modern History,3,B,Spring2023
POL101,Intro to Political Science,3,C+,Spring2023
ANT101,Anthropology,3,A-,Spring2023
CHE101,Chemistry I,3,A,Spring2023
BIO103L,Biology I Lab,1,B,Spring2023
ACT320,Intermediate Accounting II,3,B+,Spring2023
ACT360,Advanced Managerial Accounting,3,A,Spring2023
MGT212,Principles of Management,3,B-,Summer2023
BUS251,Business Communication,3,A-,Summer2023
ENG103,Intermediate Composition,3,B+,Summer2023
MKT202,Introduction to Marketing,3,A-,Summer2023
ENG105,Advanced Composition,3,B+,Summer2023
ECO101,Intro to Microeconomics,3,A,Summer2023
ECO104,Intro to Macroeconomics,3,A,Summer2023
ACT201,Intro to Financial Accounting,3,A-,Summer2023
MGT351,Human Resource Management,3,A-,Summer2023
BUS135,Business Mathematics,3,B,Summer2023
HIS103,History of South Asia,3,B,Summer2023
BIO103,Biology I,3,A,Summer2023
PSY101,Intro to Psychology,3,B,Summer2023
ACT310,Intermediate Accounting I,3,A-,Summer2023
ACT370,Taxation,3,B-,Summer2023
ACT460,Advanced Financial Accounting,3,A-,Summer2023
ACT380,Audit and Assurance,3,A,Summer2023
BUS498,Internship,4,A-,Summer2023
