course_code,course_name,credits,grade,semester
MAT116,Pre-Calculus,3,A-,Summer2022
CSE311,Database Management Systems,3,C-,Summer2022
CEE110,Engineering Drawing,1,D,Summer2022
HIS101,Bangladesh History,3,F,Summer2022
ENG103,Intermediate Composition,3,A-,Summer2022
MAT130,Calculus II,3,C+,Summer2022
PHY107L,Physics I Lab,1,D,Summer2022
ENG111,Public Speaking,3,C-,Summer2022
ECO104,Intro to Macroeconomics,3,C-,Summer2022
CSE327,Software Engineering,3,D,Fall2022
CSE331,Microprocessor Interfacing,3,B,Fall2022
CSE423,Data Mining,3,C,Fall2022
CSE331L,Microprocessor Interfacing Lab,1,C+,Spring2023
CSE101,Introduction to Python Programming,3,B,Spring2023
PHY107,Physics I,3,C-,Spring2023
CSE231L,Digital Logic Design Lab,1,B+,Spring2023
CSE323,Operating Systems Design,3,B,Spring2023
CSE299,Junior Design Project,1,B+,Spring2023
CSE311L,Database Management Systems Lab,1,A-,Spring2023
CSE215L,Programming Language II Lab,1,A-,Spring2023
PHY108,Physics II,3,B,Spring2023
CSE226,Fundamentals of Vibe Coding,3,D,Spring2023
EEE111L,Analog Electronics I Lab,1,W,Spring2023
CSE461,Robotics,3,B,Spring2023
MAT120,Calculus I,3,B+,Summer2023
CHE101,Chemistry I,3,C,Summer2023
CSE425,Concepts of Programming Languages,3,B-,Summer2023
CSE145,Introduction to Artificial Intelligence,3,C-,Fall2023
CSE215,Programming Language II,3,B+,Fall2023
CSE115,Programming Language I,3,D,Fall2023
SOC101,Intro to Sociology,3,W,Fall2023
CSE421,Machine Learning,3,C+,Fall2023
EEE452,Engineering Economics,3,B,Spring2024
CSE173,Discrete Mathematics,3,C,Spring2024
CSE225,Data Structures & Algorithms,3,D,Spring2024
PHI104,Introduction to Ethics,3,D+,Spring2024
BIO103L,Biology I Lab,1,B-,Spring2024
CSE225L,Data Structures & Algorithms Lab,1,B,Spring2024
HIS102,World Civilization,3,B,Spring2024
EEE141,Electrical Circuits I,3,B+,Spring2024
CSE332,Computer Organization & Architecture,3,B-,Spring2024
EEE141L,Electrical Circuits I Lab,1,W,Spring2024
CSE231,Digital Logic Design,3,A,Spring2024
HIS201,Modern History,3,C-,Spring2024
ENG105,Advanced Composition,3,B,Summer2024
EEE111,Analog Electronics I,3,B-,Summer2024
CSE499A,Senior Capstone Design I,2,A-,Summer2024
CSE499B,Senior Capstone Design II,2,C-,Summer2024
CSE115L,Programming Language I Lab,1,D+,Fall2024
PHY108L,Physics II Lab,1,D,Fall2024
CSE373,Design & Analysis of Algorithms,3,B-,Fall2024
MAT125,Linear Algebra,3,B+,Fall2024
