course_code,course_name,credits,grade,semester
MGT321,Organizational Behavior,3,W,Fall2019
MGT368,Entrepreneurship,3,B,Spring2020
ACT201,Intro to Financial Accounting,3,W,Spring2020
MIS107,Introduction to Computers,3,W,Spring2020
GEO205,Geography,3,C,Spring2020
PBH101,Public Health,3,W,Spring2020
BUS135,Business Mathematics,3,W,Fall2020
POL104,Political Science,3,W,Fall2020
MGT212,Principles of Management,3,B+,Spring2021
BUS251,Business Communication,3,W,Spring2021
ECO104,Intro to Macroeconomics,3,B,Summer2021
FIN254,Intro to Financial Management,3,B,Summer2021
BEN205,Bengali Literature,3,B+,Summer2021
ENV107,Environmental Science,3,B+,Summer2021
HRM450,Industrial Relations,3,C,Summer2021
PHI401,Ethics / Philosophy,3,W,Fall2021
MIS207,Management Information Systems,3,W,Fall2021
ENG105,Advanced Composition,3,C,Spring2022
HIS102,World Civilization,3,C+,Spring2022
BUS173,Applied Statistics,3,W,Summer2022
PBH101L,Public Health Lab,1,F,Summer2022
MGT330,Designing Effective Organizations,3,W,Summer2022
ACT202,Intro to Managerial Accounting,3,W,Fall2022
PHY107,Physics I,3,W,Fall2022
