course_code,course_name,credits,grade,semester
HIS102,World Civilization,3,F,Spring2021
CHE101L,Chemistry I Lab,1,B,Spring2021
ACT201,Intro to Financial Accounting,3,D+,Summer2021
ECO450,Game Theory,3,D+,Summer2021
MGT368,Entrepreneurship,3,D+,Fall2021
MGT212,Principles of Management,3,D+,Fall2021
ECO201,Intermediate Microeconomics,3,B-,Fall2021
GEO205,Geography,3,B-,Spring2022
PBH101,Public Health,3,D,Spring2022
MGT314,Production Management,3,D,Fall2022
LAW200,Legal Environment of Business,3,C+,Fall2022
HIS101,Bangladesh History,3,D+,Fall2022
CHE101,Chemistry I,3,C-,Fall2022
BUS172,Introduction to Statistics,3,C,Spring2023
FIN254,Intro to Financial Management,3,C,Spring2023
BUS135,Business Mathematics,3,C,Fall2023
ECO301,Monetary Economics,3,C,Fall2023
