course_code,course_name,credits,grade,semester
FIN254,Intro to Financial Management,3,W,Summer2023
ENG103,Intermediate Composition,3,W,Summer2023
HIS102,World Civilization,3,C,Summer2023
ENV107,Environmental Science,3,F,Summer2023
HRM380,Compensation Theory and Practice,3,B,Summer2023
POL101,Intro to Political Science,3,W,Fall2023
HRM499,Special Topics in HRM,3,W,Fall2023
MGT351,Human Resource Management,3,W,Spring2024
BEN205,Bengali Literature,3,B+,Spring2024
HRM360,Planning and Staffing,3,W,Spring2024
INB372,International Business,3,B,Summer2024
BUS251,Business Communication,3,W,Summer2024
ENG105,Advanced Composition,3,F,Summer2024
HRM340,Training and Development,3,W,Summer2024
ACT201,Intro to Financial Accounting,3,C,Fall2024
MIS207,Management Information Systems,3,B,Fall2024
MKT202,Introduction to Marketing,3,C,Fall2024
LAW200,Legal Environment of Business,3,F,Fall2024
ECO101,Intro to Microeconomics,3,B,Fall2024
MGT489,Strategic Management,3,W,Fall2024
HRM450,Industrial Relations,3,W,Fall2024
