course_code,course_name,credits,grade,semester
BUS173,Applied Statistics,3,C-,Summer2022
INB372,International Business,3,C+,Summer2022
ECO104,Intro to Macroeconomics,3,C,Summer2022
SCM320,Procurement and Inventory,3,D+,Summer2022
CHE101L,Chemistry I Lab,1,C+,Fall2022
MGT351,Human Resource Management,3,B,Spring2023
FIN254,Intro to Financial Management,3,D+,Spring2023
PBH101,Public Health,3,D+,Spring2023
MIS107,Introduction to Computers,3,D+,Summer2023
SOC101,Intro to Sociology,3,D+,Summer2023
CHE101,Chemistry I,3,C+,Summer2023
SCM310,Supply Chain Management,3,D+,Summer2023
ENG105,Advanced Composition,3,D+,Fall2023
MKT202,Introduction to Marketing,3,F,Fall2023
HIS102,World Civilization,3,F,Fall2023
SCM450,Supply Chain Analytics,3,D+,Fall2023
ECO101,Intro to Microeconomics,3,B-,Spring2024
ENG103,Intermediate Composition,3,C-,Spring2024
HIS205,Modern History,3,C-,Spring2024
MKT202,Introduction to Marketing,3,C+,Summer2024
BUS172,Introduction to Statistics,3,B-,Summer2024
MGT314,Production Management,3,C+,Summer2024
MIS207,Management Information Systems,3,F,Fall2024
ACT201,Intro to Financial Accounting,3,B-,Fall2024
MGT460,Logistics Management,3,C-,Fall2024
