course_code,course_name,credits,grade,semester
ACT202,Intro to Managerial Accounting,3,I,Summer2019
FIN254,Intro to Financial Management,3,D,Summer2019
BUS251,Business Communication,3,F,Summer2019
ECO450,Game Theory,3,F,Summer2019
BUS173,Applied Statistics,3,F,Fall2019
BUS172,Introduction to Statistics,3,D+,Fall2019
MGT212,Principles of Management,3,D,Spring2020
INB372,International Business,3,F,Spring2020
HIS103,History of South Asia,3,F,Spring2020
ANT101,Anthropology,3,F,Spring2020
BUS173,Applied Statistics,3,C,Fall2020
MGT212,Principles of Management,3,B,Fall2020
MGT368,Entrepreneurship,3,F,Fall2020
MKT202,Introduction to Marketing,3,D+,Fall2020
ECO354,Advanced Microeconomics,3,D,Fall2020
MGT314,Production Management,3,F,Spring2021
BUS251,Business Communication,3,F,Spring2021
POL101,Intro to Political Science,3,D+,Spring2021
CHE101,Chemistry I,3,F,Spring2021
MGT351,Human Resource Management,3,C-,Summer2021
PBH101,Public Health,3,I,Summer2021
ECO201,Intermediate Microeconomics,3,D+,Summer2021
FIN254,Intro to Financial Management,3,D+,Spring2024
MGT368,Entrepreneurship,3,F,Summer2024
