course_code,course_name,credits,grade,semester
MKT202,Introduction to Marketing,3,A,Spring2019
ANT101,Anthropology,3,W,Spring2019
MGT212,Principles of Management,3,W,Summer2019
BUS172,Introduction to Statistics,3,B+,Summer2019
ENG115,English Literature,3,W,Summer2019
PHY107L,Physics I Lab,1,B,Summer2019
MIS499,Special Topics in MIS,3,W,Summer2019
MIS410,Systems Design,3,B+,Summer2019
POL101,Intro to Political Science,3,C,Fall2019
PHY107,Physics I,3,W,Fall2019
ENG105,Advanced Composition,3,W,Spring2020
LAW200,Legal Environment of Business,3,B,Spring2020
MGT351,Human Resource Management,3,A,Spring2020
MGT368,Entrepreneurship,3,C+,Spring2020
PHI401,Ethics / Philosophy,3,A,Spring2020
PSY101,Intro to Psychology,3,B,Summer2020
MIS210,Computer Programming,3,B+,Summer2020
ENG103,Intermediate Composition,3,F,Fall2020
ACT202,Intro to Managerial Accounting,3,B,Fall2020
HIS101,Bangladesh History,3,W,Fall2020
CHE101,Chemistry I,3,B,Fall2020
