course_code,course_name,credits,grade,semester
BUS173,Applied Statistics,3,B,Spring2020
ENG103,Intermediate Composition,3,C+,Spring2020
MGT314,Production Management,3,W,Spring2020
ENG115,English Literature,3,B,Spring2020
ECO204,Intermediate Macroeconomics,3,F,Spring2020
ECO348,Mathematical Economics,3,D+,Spring2020
MIS107,Introduction to Computers,3,B-,Summer2020
ENG105,Advanced Composition,3,B+,Summer2020
PHI401,Ethics / Philosophy,3,C-,Summer2020
ECO201,Intermediate Microeconomics,3,B+,Summer2020
MGT368,Entrepreneurship,3,C-,Fall2020
BUS135,Business Mathematics,3,B-,Fall2020
FIN254,Intro to Financial Management,3,B-,Fall2020
BIO103,Biology I,3,C+,Fall2020
