course_code,course_name,credits,grade,semester
FIN254,Intro to Financial Management,3,A-,Summer2020
MIS107,Introduction to Computers,3,B+,Summer2020
HIS103,History of South Asia,3,B,Summer2020
INB400,International Trade and Finance,3,B-,Summer2020
INB350,International Business Negotiation,3,C+,Summer2020
MGT212,Principles of Management,3,B+,Fall2020
MGT368,Entrepreneurship,3,B+,Fall2020
ENG115,English Literature,3,C+,Fall2020
BUS173,Applied Statistics,3,B,Spring2021
MIS207,Management Information Systems,3,B,Spring2021
LAW200,Legal Environment of Business,3,B+,Spring2021
BUS172,Introduction to Statistics,3,B,Summer2021
INB480,Global Business Strategy,3,B,Summer2021
MKT417,Export-Import Management,3,A,Summer2021
GEO205,Geography,3,C+,Fall2021
PSY101,Intro to Psychology,3,B,Fall2021
PSY101L,Psychology Lab,1,C-,Fall2021
INB490,Cross-Cultural Management,3,B-,Fall2021
ENG103,Intermediate Composition,3,C+,Spring2022
MGT489,Strategic Management,3,A-,Spring2022
ECO101,Intro to Microeconomics,3,B+,Summer2022
PBH101,Public Health,3,C+,Summer2022
PHI401,Ethics / Philosophy,3,B+,Fall2022
MGT351,Human Resource Management,3,B+,Fall2022
MGT314,Production Management,3,C+,Fall2022
ENG105,Advanced Composition,3,C+,Spring2023
ACT201,Intro to Financial Accounting,3,B+,Spring2023
BUS135,Business Mathematics,3,A-,Spring2023
ACT202,Intro to Managerial Accounting,3,A,Spring2023
BUS498,Internship,4,B,Spring2023
