course_code,course_name,credits,grade,semester
BUS251,Business Communication,3,D,Fall2023
BUS172,Introduction to Statistics,3,F,Fall2023
PBH101,Public Health,3,C-,Fall2023
FIN470,Insurance and Risk Management,3,D,Fall2023
BUS135,Business Mathematics,3,I,Spring2024
ECO104,Intro to Macroeconomics,3,C-,Spring2024
BUS172,Introduction to Statistics,3,B,Spring2024
INB372,International Business,3,D+,Spring2024
CHN101,Chinese Language,3,C-,Spring2024
BUS135,Business Mathematics,3,C+,Summer2024
ENG105,Advanced Composition,3,D+,Summer2024
MGT212,Principles of Management,3,D+,Summer2024
MIS207,Management Information Systems,3,C-,Summer2024
HIS101,Bangladesh History,3,D+,Summer2024
POL101,Intro to Political Science,3,D+,Summer2024
PSY101L,Psychology Lab,1,D,Summer2024
FIN433,Financial Markets and Institutions,3,D,Summer2024
FIN440,Corporate Finance,3,D+,Summer2024
