course_code,course_name,credits,grade,semester
ACT202,Intro to Managerial Accounting,3,D,Summer2019
MGT314,Production Management,3,C-,Summer2019
PHI401,Ethics / Philosophy,3,B,Summer2019
HIS103,History of South Asia,3,A-,Summer2019
FIN440,Corporate Finance,3,A,Summer2019
FIN480,Behavioural Finance,3,B,Summer2019
FIN464,Derivatives,3,C+,Summer2019
LAW200,Legal Environment of Business,3,A-,Fall2019
FIN254,Intro to Financial Management,3,B-,Fall2019
ACT201,Intro to Financial Accounting,3,C+,Fall2019
HIS205,Modern History,3,D+,Fall2019
FIN444,International Financial Management,3,C+,Fall2019
ECO104,Intro to Macroeconomics,3,D,Spring2020
MKT202,Introduction to Marketing,3,C-,Spring2020
ENG105,Advanced Composition,3,C-,Spring2020
MGT351,Human Resource Management,3,W,Spring2020
ENG103,Intermediate Composition,3,C+,Spring2020
POL101,Intro to Political Science,3,B+,Spring2020
PHY107,Physics I,3,A,Spring2020
MIS207,Management Information Systems,3,A,Summer2020
MIS107,Introduction to Computers,3,C,Summer2020
MGT489,Strategic Management,3,D+,Summer2020
ENV107L,Environmental Science Lab,1,B+,Summer2020
FIN435,Investment Theory,3,F,Summer2020
BUS173,Applied Statistics,3,B-,Fall2020
BUS172,Introduction to Statistics,3,A-,Fall2020
BUS251,Business Communication,3,F,Fall2020
ENV107,Environmental Science,3,D+,Fall2020
PSY101,Intro to Psychology,3,A,Fall2020
INB372,International Business,3,C-,Spring2021
MGT212,Principles of Management,3,D+,Spring2021
MGT368,Entrepreneurship,3,B+,Spring2021
BUS135,Business Mathematics,3,C-,Spring2021
SOC101,Intro to Sociology,3,C+,Spring2021
FIN433,Financial Markets and Institutions,3,C-,Spring2021
BUS498,Internship,4,A-,Spring2021
