course_code,course_name,credits,grade,semester
BUS251,Business Communication,3,A,Fall2021
BUS173,Applied Statistics,3,B,Fall2021
MGT212,Principles of Management,3,A,Fall2021
ECO104,Intro to Macroeconomics,3,A-,Fall2021
ACT202,Intro to Managerial Accounting,3,B,Fall2021
LAW200,Legal Environment of Business,3,B,Fall2021
ENG105,Advanced Composition,3,A,Fall2021
BEN205,Bengali Literature,3,B+,Fall2021
GEO205,Geography,3,B-,Fall2021
ENV107,Environmental Science,3,A-,Fall2021
SCM320,Procurement and Inventory,3,A,Fall2021
MGT460,Logistics Management,3,A,Fall2021
MGT470,Quality Management,3,A-,Fall2021
MGT360,Global Supply Chain,3,B+,Fall2021
MIS107,Introduction to Computers,3,C+,Spring2022
MGT489,Strategic Management,3,B,Spring2022
ACT201,Intro to Financial Accounting,3,A,Spring2022
MKT202,Introduction to Marketing,3,B-,Spring2022
BUS172,Introduction to Statistics,3,A,Spring2022
BUS135,Business Mathematics,3,A-,Spring2022
INB372,International Business,3,B+,Spring2022
MIS207,Management Information Systems,3,B-,Spring2022
HIS102,World Civilization,3,A,Spring2022
HIS101,Bangladesh History,3,B+,Spring2022
PHY107,Physics I,3,A-,Spring2022
PSY101,Intro to Psychology,3,B,Spring2022
MGT351,Human Resource Management,3,B,Summer2022
ENG103,Intermediate Composition,3,B+,Summer2022
MGT314,Production Management,3,A,Summer2022
ECO101,Intro to Microeconomics,3,A,Summer2022
MGT368,Entrepreneurship,3,A-,Summer2022
FIN254,Intro to Financial Management,3,B+,Summer2022
PHI401,Ethics / Philosophy,3,B+,Summer2022
POL104,Political Science,3,B,Summer2022
PSY101L,Psychology Lab,1,A,Summer2022
SCM310,Supply Chain Management,3,A,Summer2022
SCM450,Supply Chain Analytics,3,A-,Summer2022
BUS498,Internship,4,A-,Summer2022
