course_code,course_name,credits,grade,semester
FIN254,Intro to Financial Management,3,F,Spring2019
ECO101,Intro to Microeconomics,3,A,Spring2019
BUS135,Business Mathematics,3,C+,Spring2019
ENG103,Intermediate Composition,3,B-,Spring2019
PHI401,Ethics / Philosophy,3,B+,Spring2019
MIS107,Introduction to Computers,3,B-,Spring2019
HIS103,History of South Asia,3,D,Spring2019
ANT101,Anthropology,3,C,Spring2019
SCM320,Procurement and Inventory,3,B,Spring2019
SCM450,Supply Chain Analytics,3,D+,Spring2019
MGT212,Principles of Management,3,C+,Summer2019
ACT202,Intro to Managerial Accounting,3,A-,Summer2019
BUS173,Applied Statistics,3,A,Summer2019
MGT368,Entrepreneurship,3,B-,Summer2019
MGT314,Production Management,3,B+,Summer2019
ACT201,Intro to Financial Accounting,3,A-,Summer2019
MGT489,Strategic Management,3,W,Summer2019
POL104,Political Science,3,C,Summer2019
PBH101,Public Health,3,C,Summer2019
ENV107,Environmental Science,3,C-,Summer2019
MGT460,Logistics Management,3,A,Summer2019
MGT390,Warehouse Management,3,C-,Summer2019
MIS207,Management Information Systems,3,A,Fall2019
ENG105,Advanced Composition,3,A-,Fall2019
BUS172,Introduction to Statistics,3,A,Fall2019
INB372,International Business,3,D+,Fall2019
MGT351,Human Resource Management,3,F,Fall2019
ECO104,Intro to Macroeconomics,3,B,Fall2019
BUS251,Business Communication,3,A,Fall2019
LAW200,Legal Environment of Business,3,W,Fall2019
ENG115,English Literature,3,B+,Fall2019
HIS102,World Civilization,3,B,Fall2019
PSY101,Intro to Psychology,3,W,Fall2019
PSY101L,Psychology Lab,1,C,Fall2019
SCM310,Supply Chain Management,3,C+,Fall2019
MGT360,Global Supply Chain,3,D,Fall2019
BUS498,Internship,4,A-,Fall2019
